idMao,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,cartaAltaHumano,cartaMediaHumano,cartaBaixaHumano,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,pontosEnvidoHumano,quemNegouEnvido,quemGanhouEnvido,tentosEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemNegouFlor,pontosFlorRobo,pontosFlorHumano,quemGanhouFlor,tentosFlor,quemEscondeuPontosEnvido,quemEscondeuPontosFlor,quemTruco,quandoTruco,quemRetruco,quandoRetruco,quemValeQuatro,quandoValeQuatro,quemNegouTruco,quemGanhouTruco,tentosTruco,tentosAnterioresRobo,tentosAnterioresHumano,tentosPosterioresRobo,tentosPosterioresHumano,quemBaralho,quandoBaralho,quemContraFlorFalta,quemEnvidoEnvido,quemFlorFlor,quandoCartaVirada,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo,naipeCartaAltaHumano,naipeCartaMediaHumano,naipeCartaBaixaHumano,naipePrimeiraCartaRobo,naipePrimeiraCartaHumano,naipeSegundaCartaRobo,naipeSegundaCartaHumano,naipeTerceiraCartaRobo,naipeTerceiraCartaHumano,quantidadeChamadasHumano,quantidadeChamadasRobo,qualidadeMaoRobo,qualidadeMaoHumano,quantidadeChamadasEnvidoRobo,quantidadeChamadasEnvidoHumano,saldoTruco,saldoEnvido,saldoFlor
1,2,52,8,2,50,16,16,52,16,2,16,-15,1,1,2,-130,1,0,0,5,2,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,2,0,3,1,0,0,NULL,NULL,0,0,ESPADAS,BASTOS,COPAS,BASTOS,OURO,BASTOS,ESPADAS,COPAS,COPAS,OURO,NULL,NULL,1,0,62,82,1,0,-1,1,NULL
2,1,24,16,4,7,6,4,16,4,4,7,-46,6,1,2,1,1,0,0,29,7,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,3,1,5,1,0,0,NULL,NULL,0,0,OURO,COPAS,COPAS,COPAS,ESPADAS,COPAS,COPAS,BASTOS,COPAS,COPAS,NULL,ESPADAS,0,1,44,17,1,0,1,1,NULL
3,2,12,8,4,42,16,1,4,1,8,16,-15,1,1,2,-130,2,0,1,27,7,0,2,5,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,5,1,5,7,0,0,NULL,NULL,0,0,OURO,COPAS,COPAS,ESPADAS,BASTOS,ESPADAS,COPAS,ESPADAS,COPAS,BASTOS,NULL,NULL,1,0,24,59,0,1,-1,-5,NULL
4,1,24,4,1,24,8,6,24,6,1,8,-15,1,1,2,-130,1,0,0,31,3,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,5,7,6,8,0,0,NULL,NULL,0,0,ESPADAS,COPAS,COPAS,OURO,COPAS,OURO,ESPADAS,BASTOS,COPAS,COPAS,NULL,NULL,1,0,29,38,1,0,-1,1,NULL
5,2,50,12,3,7,6,4,12,4,3,6,-46,7,1,2,1,2,0,0,6,7,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,6,8,7,9,0,0,NULL,NULL,0,0,BASTOS,COPAS,ESPADAS,ESPADAS,BASTOS,ESPADAS,COPAS,BASTOS,ESPADAS,BASTOS,NULL,ESPADAS,0,1,65,17,0,1,1,-1,NULL
6,1,16,16,2,40,6,1,16,1,2,6,-10,40,-10,2,2,2,0,0,5,31,1,2,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,0,2,2,7,9,7,12,1,2,NULL,NULL,0,0,OURO,ESPADAS,COPAS,OURO,OURO,OURO,ESPADAS,BASTOS,COPAS,OURO,NULL,OURO,1,0,34,47,0,1,-2,-1,NULL
7,2,24,2,1,24,7,2,24,2,1,7,-15,1,1,2,-130,1,0,0,29,5,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,7,12,8,13,0,0,NULL,NULL,0,0,ESPADAS,OURO,OURO,OURO,ESPADAS,OURO,ESPADAS,ESPADAS,OURO,ESPADAS,NULL,NULL,1,0,27,33,1,0,-1,1,NULL
8,1,16,6,3,12,6,3,6,12,16,3,3,6,2,1,2,1,0,0,6,27,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,8,13,9,14,0,0,NULL,NULL,0,0,BASTOS,COPAS,BASTOS,OURO,OURO,OURO,COPAS,OURO,BASTOS,ESPADAS,BASTOS,OURO,0,0,25,21,1,0,-1,1,NULL
9,2,16,8,7,4,3,2,7,2,8,3,-46,NULL,1,1,1,0,0,0,22,38,0,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,9,14,10,17,0,0,NULL,NULL,0,0,ESPADAS,ESPADAS,COPAS,BASTOS,BASTOS,BASTOS,COPAS,BASTOS,ESPADAS,BASTOS,NULL,NULL,0,0,31,9,0,0,1,1,NULL
10,1,7,4,3,16,12,6,7,12,-10,6,-10,0,2,2,2,1,0,0,27,2,2,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,10,17,11,18,1,1,NULL,NULL,0,0,COPAS,COPAS,OURO,COPAS,OURO,COPAS,COPAS,OURO,NULL,ESPADAS,NULL,NULL,0,0,14,34,1,0,-1,1,NULL
